employe_id,nom,departement,salaire,anciennete,evaluation,genre,ville
458,Marie Laurent,Direction,136526,9,3.3,F,Lille
459,Julie Thomas,Finance,84424,13,2.1,F,Paris
460,Manon Vincent,Direction,88059,1,3.5,F,Strasbourg
461,Thomas Petit,Direction,135899,21,4.6,M,Lille
462,Julien Moreau,Finance,87645,19,5.0,M,Nantes
463,Marc Vincent,Support,37380,15,3.6,M,Lyon
464,Léa Richard,Finance,47768,5,2.8,F,Lille
465,Hugo Leroy,RH,61141,8,,M,Strasbourg
466,Chloé Michel,Direction,136979,19,2.6,F,Lille
467,Léa Dubois,Support,46518,13,4.4,F,Paris
468,Maxime Martin,Marketing,45694,3,2.6,M,Nantes
469,Lucas Garcia,Support,35869,2,2.1,M,Lyon
470,Lucas Michel,Marketing,54669,12,3.2,M,Strasbourg
471,Sophie Leroy,RH,49166,1,3.8,F,Paris
472,Marie Laurent,Direction,137988,13,3.9,F,Toulouse
473,Emma Leroy,Support,32267,5,2.9,F,Strasbourg
474,Nicolas Richard,Direction,76948,1,3.9,M,Lille
475,Julie Petit,Finance,70318,13,3.9,F,Nantes
476,Marie Roux,Direction,105145,19,1.5,F,Marseille
477,Marie Robert,RH,49751,4,3.8,F,Bordeaux
478,Hugo Robert,Support,53959,14,2.3,M,Paris
479,Lucas Roux,Direction,109637,5,3.6,M,Paris
480,Marie Moreau,Finance,78663,16,4.0,F,Strasbourg
481,Chloé Michel,Finance,79171,11,4.2,F,Marseille
482,Julie Roux,Commercial,57033,5,3.4,F,Nantes
483,Pierre Thomas,Engineering,71356,20,4.6,M,Lyon
484,Nicolas Michel,Marketing,65668,7,4.3,M,Lyon
485,Sophie Laurent,Direction,113262,14,3.1,F,Paris
486,Maxime Moreau,Finance,77366,21,2.2,M,Nantes
487,Lucas Bernard,Engineering,48595,0,4.1,M,Lille
488,Camille Roux,RH,54999,6,2.1,F,Paris
489,Julie Lefebvre,Support,38944,5,3.8,F,Marseille
490,Emma Roux,Marketing,47046,10,,F,Nantes
491,Jean Fournier,Support,53489,17,2.5,M,Marseille
492,Julie Durand,Support,40296,7,4.4,F,Toulouse
493,Emma Bernard,Finance,74979,2,2.8,F,Lyon
494,Pierre Robert,Finance,76053,8,2.7,M,Strasbourg
495,Lucas Thomas,RH,47932,25,3.8,M,Nantes
496,Manon Richard,Marketing,41412,9,3.4,F,Paris
497,Léa David,Commercial,65276,19,3.4,F,Toulouse
498,Maxime Bertrand,Direction,86438,4,,M,Toulouse
499,Thomas Dubois,Support,60864,22,1.5,M,Lille
500,Manon David,RH,81309,16,3.7,F,Bordeaux
